Uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1286
dd5ecb2b-7c64-4db6-9584-c86f375a6bbe,,,Autre raison de reference,Other referral reason,Autre raison de reference,Other referral reason,Misc,Text,
0520c8b3-831c-4aa3-9d6d-b57d43166c9b,,dcc10fbf-da24-4399-8a6c-310be39715ca;8a29b8dd-dcae-49c4-a4a2-ce5f18b1242b;22774448-247c-4a06-898e-fdbf21da5c83;dd5ecb2b-7c64-4db6-9584-c86f375a6bbe,Poste,Position,Poste,Position,Misc,Coded,
5e60d34e-9d10-4948-b470-af98f27ab7d6,,,Numéro de téléphone de la personne à contacter,Phone number of contact person,Numéro de téléphone de la personne à contacter,Phone number of contact person,Misc,Text,
c3891af4-6b78-40cf-918b-1e96b91b6397,,,Confirmation du test VIH,Confirmation of HIV test,Confirmation du test VIH,Confirmation of HIV test,Misc,N/A,
b2a30389-b846-46bf-a4a8-76540a63b998,,,Dépistage du VIH,HIV testing test,Dépistage du VIH,HIV testing,Misc,N/A,
edc4a31a-1c07-49de-be03-84fad0a98812,,,Prélèvement Charge virale,Viral Load Sample collection,Prélèvement Charge virale,Viral Load Sample collection,Misc,N/A,
cf63e617-c77d-41d8-b82e-f283d3438435,,,Diagnostic precoce VIH,EID,Diagnostic precoce VIH,EID,Misc,N/A,
cffdc0e6-f67f-4462-a1cc-22ebfcaaffac,,,Prophylaxie a l'INH,INH Prophylaxis,Prophylaxie a l'INH,INH Prophylaxis,Misc,N/A,
1f844cab-88b8-4b63-93de-574fcdf1d6cc,,,Planning Familial,Family planning,Planning Familial,Family planning,Misc,N/A,
7fa40ca3-aadd-486a-9850-83ac0578236a,,,Prophylaxie Post exposition(PPE),Post exposure Prophylaxis(PEP),Prophylaxie Post exposition(PPE),Post exposure Prophylaxis(PEP),Misc,N/A,
39b6808a-afef-43e6-8ab7-f790735b0ee8,,,Prophylaxie PreExposition(PrEP),Pre-Exposure Prophylaxis(PrEP),Prophylaxie PreExposition(PrEP),Pre-Exposure Prophylaxis (PrEP),Misc,N/A,
